Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-05,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,1,0.05
Label,,,,
TIME,CH1,CH2,CH3,CH4
-1.6304e-01,0.79,0.32,0.23,0.0115
-1.6302e-01,0.79,0.4,0.23,0.0115
-1.6301e-01,0.79,0.36,0.23,0.0095
-1.6299e-01,0.79,0.36,0.23,0.0095
-1.6298e-01,0.79,0.4,0.19,0.0075
-1.6296e-01,0.79,0.36,0.27,0.0095
-1.6294e-01,0.79,0.36,0.23,0.0115
-1.6293e-01,0.79,0.36,0.23,0.0115
-1.6291e-01,0.83,0.36,0.19,0.0095
-1.6290e-01,0.83,0.36,0.23,0.0095
-1.6288e-01,0.79,0.36,0.23,0.0095
-1.6286e-01,0.83,0.36,0.23,0.0095
-1.6285e-01,0.83,0.36,0.23,0.0095
-1.6283e-01,0.79,0.36,0.19,0.0115
-1.6282e-01,0.83,0.36,0.23,0.0095
-1.6280e-01,0.79,0.32,0.23,0.0095
-1.6278e-01,0.79,0.36,0.39,0.0215
-1.6277e-01,0.79,0.36,0.35,0.0095
-1.6275e-01,0.79,0.36,0.39,0.0135
-1.6274e-01,0.79,0.36,0.35,0.0155
-1.6272e-01,0.83,0.36,0.35,0.0135
-1.6270e-01,0.83,0.36,0.35,0.0175
-1.6269e-01,0.83,0.36,0.35,0.0155
-1.6267e-01,0.79,0.36,0.35,0.0155
-1.6266e-01,0.79,0.36,0.35,0.0155
-1.6264e-01,0.79,0.36,0.35,0.0115
-1.6262e-01,0.79,0.32,0.39,0.0155
-1.6261e-01,0.83,0.36,0.35,0.0155
-1.6259e-01,0.79,0.36,0.35,0.0155
-1.6258e-01,0.79,0.36,0.39,0.0155
-1.6256e-01,0.79,0.36,0.39,0.0175
-1.6254e-01,0.79,0.4,0.39,0.0135
-1.6253e-01,0.79,0.36,0.35,0.0135
-1.6251e-01,0.79,0.36,0.35,0.0155
-1.6250e-01,0.79,0.36,0.39,0.0135
-1.6248e-01,0.79,0.36,0.35,0.0155
-1.6246e-01,0.79,0.36,0.35,0.0135
-1.6245e-01,0.83,0.36,0.35,0.0135
-1.6243e-01,0.79,0.36,0.35,0.0155
-1.6242e-01,0.79,0.36,0.39,0.0155
-1.6240e-01,0.79,0.36,0.39,0.0155
-1.6238e-01,0.83,0.32,0.39,0.0155
-1.6237e-01,0.79,0.36,0.35,0.0155
-1.6235e-01,0.79,0.36,0.35,0.0135
-1.6234e-01,0.79,0.36,0.39,0.0155
-1.6232e-01,0.79,0.36,0.35,0.0155
-1.6230e-01,0.79,0.36,0.39,0.0155
-1.6229e-01,0.79,0.36,0.39,0.0155
-1.6227e-01,0.79,0.36,0.35,0.0155
-1.6226e-01,0.79,0.36,0.39,0.0155
-1.6224e-01,0.79,0.36,0.35,0.0135
-1.6222e-01,0.79,0.36,0.35,0.0155
-1.6221e-01,0.79,0.36,0.35,0.0155
-1.6219e-01,0.79,0.36,0.35,0.0155
-1.6218e-01,0.83,0.36,0.35,0.0155
-1.6216e-01,0.79,0.32,0.39,0.0155
-1.6214e-01,0.79,0.4,0.39,0.0155
-1.6213e-01,0.79,0.36,0.39,0.0155
-1.6211e-01,0.79,0.36,0.39,0.0155
-1.6210e-01,0.83,0.32,0.39,0.0155
-1.6208e-01,0.83,0.36,0.35,0.0155
-1.6206e-01,0.83,0.36,0.39,0.0155
-1.6205e-01,0.79,0.36,0.39,0.0155
-1.6203e-01,0.79,0.36,0.39,0.0155
-1.6202e-01,0.79,0.36,0.35,0.0155
-1.6200e-01,0.79,0.36,0.39,0.0155
-1.6198e-01,0.79,0.36,0.35,0.0155
-1.6197e-01,0.83,0.36,0.35,0.0155
-1.6195e-01,0.79,0.36,0.39,0.0155
-1.6194e-01,0.39,0.36,0.07,0.0015
-1.6192e-01,0.35,0.36,0.07,0.0035
-1.6190e-01,0.35,0.36,0.11,0.0055
-1.6189e-01,0.35,0.36,0.07,0.0035
-1.6187e-01,0.39,0.4,0.11,0.0055
-1.6186e-01,0.39,0.36,0.07,0.0055
-1.6184e-01,0.39,0.36,0.11,0.0055
-1.6182e-01,0.35,0.36,0.07,0.0055
-1.6181e-01,0.39,0.36,0.07,0.0055
-1.6179e-01,0.39,0.36,0.11,0.0035
-1.6178e-01,0.39,0.32,0.11,0.0055
-1.6176e-01,0.39,0.36,0.11,0.0055
-1.6174e-01,0.39,0.36,0.11,0.0035
-1.6173e-01,0.39,0.36,0.07,0.0055
-1.6171e-01,0.39,0.36,0.07,0.0035
-1.6170e-01,0.39,0.32,0.11,0.0055
-1.6168e-01,0.39,0.36,0.11,0.0035
-1.6166e-01,0.39,0.36,0.07,0.0055
-1.6165e-01,0.39,0.36,0.07,0.0055
-1.6163e-01,0.39,0.32,0.11,0.0075
-1.6162e-01,0.39,0.32,0.11,0.0055
-1.6160e-01,0.39,0.32,0.11,0.0055
