Model,TBS2104X
Firmware Version,v1.31.14

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,8e-06,,,
Filter Frequency,2e+08,,,
Record Length,20000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,A
Vertical Offset,0,0,0,0
Vertical Scale,1,1,0.5,0.2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-9.4560e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4552e-02,-0.37,-0.4,-0.00499999,-0.126
-9.4544e-02,-0.41,-0.44,-0.00499999,-0.134
-9.4536e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4528e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4520e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4512e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4504e-02,-0.37,-0.4,-0.00499999,-0.134
-9.4496e-02,-0.37,-0.4,-0.00499999,-0.126
-9.4488e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4480e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4472e-02,-0.41,-0.44,-0.00499999,-0.134
-9.4464e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4456e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4448e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4440e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4432e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4424e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4416e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4408e-02,-0.37,-0.44,-0.00499999,-0.134
-9.4400e-02,-0.37,-0.4,-0.00499999,-0.126
-9.4392e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4384e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4376e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4368e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4360e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4352e-02,-0.37,-0.4,-0.00499999,-0.126
-9.4344e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4336e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4328e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4320e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4312e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4304e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4296e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4288e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4280e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4272e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4264e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4256e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4248e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4240e-02,-0.41,-0.4,-0.025,-0.134
-9.4232e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4224e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4216e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4208e-02,-0.41,-0.44,-0.00499999,-0.126
-9.4200e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4192e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4184e-02,-0.41,-0.4,-0.00499999,-0.134
-9.4176e-02,-0.37,-0.44,-0.00499999,-0.134
-9.4168e-02,-0.37,-0.4,-0.00499999,-0.126
-9.4160e-02,-0.41,-0.4,-0.00499999,-0.126
-9.4152e-02,-0.00999995,-0.04,0.115,-0.134
-9.4144e-02,-0.00999995,-0.04,0.115,-0.102
-9.4136e-02,-0.00999995,-5.96046e-09,0.135,-0.062
-9.4128e-02,-0.00999995,-5.96046e-09,0.115,-0.078
-9.4120e-02,-0.00999995,-0.04,0.135,-0.086
-9.4112e-02,-0.00999995,-0.04,0.135,-0.086
-9.4104e-02,-0.00999995,-0.04,0.135,-0.078
-9.4096e-02,-0.00999995,-0.04,0.135,-0.078
-9.4088e-02,-0.00999995,-0.04,0.135,-0.078
-9.4080e-02,-0.00999995,-0.04,0.135,-0.086
-9.4072e-02,-0.00999995,-0.04,0.135,-0.078
-9.4064e-02,-0.00999995,-0.04,0.135,-0.078
-9.4056e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.4048e-02,0.03,-5.96046e-09,0.135,-0.078
-9.4040e-02,0.03,-5.96046e-09,0.115,-0.078
-9.4032e-02,-0.00999995,-0.04,0.135,-0.078
-9.4024e-02,-0.00999995,-0.04,0.135,-0.078
-9.4016e-02,-0.00999995,-0.04,0.115,-0.078
-9.4008e-02,-0.05,-0.04,0.135,-0.078
-9.4000e-02,-0.00999995,-0.04,0.135,-0.086
-9.3992e-02,-0.00999995,-0.04,0.135,-0.078
-9.3984e-02,0.03,-0.04,0.135,-0.078
-9.3976e-02,-0.00999995,-0.04,0.115,-0.078
-9.3968e-02,-0.00999995,-5.96046e-09,0.115,-0.078
-9.3960e-02,0.03,-0.04,0.135,-0.086
-9.3952e-02,0.03,-0.04,0.135,-0.078
-9.3944e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.3936e-02,-0.00999995,-0.04,0.135,-0.078
-9.3928e-02,0.03,-0.04,0.115,-0.078
-9.3920e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.3912e-02,-0.00999995,-0.04,0.135,-0.078
-9.3904e-02,-0.00999995,-0.04,0.135,-0.078
-9.3896e-02,0.03,-0.04,0.135,-0.086
-9.3888e-02,0.03,-0.04,0.135,-0.078
-9.3880e-02,-0.00999995,-0.04,0.135,-0.078
-9.3872e-02,0.03,-0.04,0.135,-0.078
-9.3864e-02,-0.00999995,-0.04,0.135,-0.078
-9.3856e-02,-0.00999995,-5.96046e-09,0.135,-0.078
-9.3848e-02,-0.00999995,-0.04,0.135,-0.078
-9.3840e-02,-0.00999995,-0.04,0.135,-0.078
-9.3832e-02,-0.00999995,-0.04,0.135,-0.086
-9.3824e-02,-0.00999995,-0.04,0.135,-0.078
-9.3816e-02,0.03,-5.96046e-09,0.135,-0.078
-9.3808e-02,0.03,-0.04,0.135,-0.078
-9.3800e-02,-0.00999995,-0.04,0.135,-0.078
-9.3792e-02,-0.00999995,-0.08,0.115,-0.078
-9.3784e-02,0.03,-5.96046e-09,0.135,-0.078
-9.3776e-02,-0.00999995,-5.96046e-09,0.115,-0.07
-9.3768e-02,-0.00999995,-0.04,0.135,-0.078
-9.3760e-02,0.03,-5.96046e-09,0.135,-0.078
-9.3752e-02,-0.00999995,-0.08,0.135,-0.078
-9.3744e-02,-0.00999995,-0.04,0.135,-0.078
-9.3736e-02,-0.00999995,-0.04,0.135,-0.078
-9.3728e-02,-0.00999995,-0.04,0.135,-0.078
-9.3720e-02,-0.00999995,-0.04,0.115,-0.078
-9.3712e-02,-0.00999995,-0.08,0.135,-0.078
-9.3704e-02,-0.00999995,-0.04,0.135,-0.078
